MS-DRG,DRG_CODE,MDC,TYPE,DESCRIPTION,WEIGHT
1,1,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,24.2794
2,2,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,13.97
3,3,PRE,SURG,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.9927
4,4,PRE,SURG,"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",10.9251
5,5,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.4814
6,6,PRE,SURG,LIVER TRANSPLANT W/O MCC,5.1059
7,7,PRE,SURG,LUNG TRANSPLANT,9.871
8,8,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.1176
10,10,PRE,SURG,PANCREAS TRANSPLANT,3.89
11,11,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",4.9967
12,12,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.0957
13,13,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",1.8983
14,14,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,10.2792
16,16,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.3127
17,17,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.3224
20,20,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,8.5033
21,21,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,6.4369
22,22,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.15
23,23,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,5.3625
24,24,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,3.6327
25,25,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.6927
26,26,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.977
27,27,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.1317
28,28,01,SURG,SPINAL PROCEDURES W MCC,5.6476
29,29,01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,2.8308
30,30,01,SURG,SPINAL PROCEDURES W/O CC/MCC,1.6924
31,31,01,SURG,VENTRICULAR SHUNT PROCEDURES W MCC,4.4529
32,32,01,SURG,VENTRICULAR SHUNT PROCEDURES W CC,1.9491
33,33,01,SURG,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,1.4085
