APR-DRG,SEVERITY,DRG_CODE,MDC,DESCRIPTION,WEIGHT
1,1,11,PRE,Liver Transplant,7.8388
1,2,12,PRE,Liver Transplant,7.8388
1,3,13,PRE,Liver Transplant,9.6708
1,4,14,PRE,Liver Transplant,20.1734
2,1,21,PRE,Heart &/or Lung Transplant,11.4918
2,2,22,PRE,Heart &/or Lung Transplant,12.5641
2,3,23,PRE,Heart &/or Lung Transplant,16.6829
2,4,24,PRE,Heart &/or Lung Transplant,28.126
3,1,31,PRE,Bone Marrow Transplant,6.7588
3,2,32,PRE,Bone Marrow Transplant,9.5404
3,3,33,PRE,Bone Marrow Transplant,15.5643
3,4,34,PRE,Bone Marrow Transplant,28.3497
4,1,41,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,9.4236
4,2,42,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,9.622
4,3,43,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,12.4804
4,4,44,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,21.5429
5,1,51,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,7.1574
5,2,52,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,7.3585
5,3,53,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,10.1989
5,4,54,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,15.4141
6,1,61,PRE,Pancreas Transplant,6.9161
6,2,62,PRE,Pancreas Transplant,6.9161
6,3,63,PRE,Pancreas Transplant,7.944
6,4,64,PRE,Pancreas Transplant,10.9289
20,1,201,01,Craniotomy for Trauma,2.0296
20,2,202,01,Craniotomy for Trauma,2.5777
20,3,203,01,Craniotomy for Trauma,4.1484
20,4,204,01,Craniotomy for Trauma,7.5685
21,1,211,01,Craniotomy Except for Trauma,2.1175
21,2,212,01,Craniotomy Except for Trauma,2.8564
21,3,213,01,Craniotomy Except for Trauma,5.4507
21,4,214,01,Craniotomy Except for Trauma,9.5828
22,1,221,01,Ventricular Shunt Procedures,1.2511
