MS-DRG,DRG_CODE,MDC,TYPE,DESCRIPTION,WEIGHT
1,1,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,26.0295
2,2,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,13.9131
3,3,PRE,SURG,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.7369
4,4,PRE,SURG,"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",10.8833
5,5,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.9894
6,6,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.7178
7,7,PRE,SURG,LUNG TRANSPLANT,9.6127
8,8,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.111
10,10,PRE,SURG,PANCREAS TRANSPLANT,3.8954
11,11,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",4.8434
12,12,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.1576
13,13,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",1.9566
14,14,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,10.5255
16,16,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.0932
17,17,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.5817
20,20,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,9.1016
21,21,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,6.64
22,22,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.5056
23,23,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,5.2378
24,24,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,3.5279
25,25,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.5958
26,26,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.9555
27,27,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.1631
28,28,01,SURG,SPINAL PROCEDURES W MCC,5.6028
29,29,01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,2.9277
30,30,01,SURG,SPINAL PROCEDURES W/O CC/MCC,1.7854
31,31,01,SURG,VENTRICULAR SHUNT PROCEDURES W MCC,4.2645
32,32,01,SURG,VENTRICULAR SHUNT PROCEDURES W CC,2.0348
33,33,01,SURG,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,1.4381
34,34,01,SURG,CAROTID ARTERY STENT PROCEDURE W MCC,3.6918
35,35,01,SURG,CAROTID ARTERY STENT PROCEDURE W CC,2.1965
36,36,01,SURG,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,1.661
37,37,01,SURG,EXTRACRANIAL PROCEDURES W MCC,3.187
38,38,01,SURG,EXTRACRANIAL PROCEDURES W CC,1.5741
